protocol,size,timedelta,flags
6,54,0.00010514259338378906,4
17,66,0.00017571449279785156,0
6,60,0.00013971328735351562,16
6,60,0.00013756752014160156,16
6,60,0.002725839614868164,16
6,78,0.0003218650817871094,24
6,60,0.00020503997802734375,17
6,54,0.0003151893615722656,20
6,54,0.00023055076599121094,4
17,1292,0.0040187835693359375,0
17,82,0.0001666545867919922,0
17,1292,0.00016021728515625,0
17,1292,0.00015807151794433594,0
17,185,0.00013947486877441406,0
17,81,0.00017333030700683594,0
17,131,0.0007038116455078125,0
17,115,0.00016951560974121094,0
17,162,0.002869129180908203,0
17,71,0.00019311904907226562,0
17,73,0.0001518726348876953,0
17,71,0.0002796649932861328,0
17,1292,0.005570173263549805,0
17,326,0.00019097328186035156,0
17,990,0.00015425682067871094,0
17,120,0.00022745132446289062,0
6,1466,0.00026702880859375,16
17,73,0.0002009868621826172,0
6,1466,0.00020837783813476562,24
6,54,0.00012826919555664062,16
6,1466,0.000164031982421875,16
6,1466,0.0002803802490234375,24
6,54,0.00011944770812988281,16
6,1466,0.00023221969604492188,16
6,887,0.0002644062042236328,24
6,54,0.00012946128845214844,16
6,1466,0.00018334388732910156,16
6,1466,0.00018787384033203125,24
6,54,0.00010800361633300781,16
6,128,0.0001270771026611328,24
6,1466,0.00016999244689941406,16
6,1466,0.00016760826110839844,24
17,67,0.0001494884490966797,0
6,54,0.00010037422180175781,16
6,1466,0.0001621246337890625,16
6,888,0.0001468658447265625,24
6,54,0.00010943412780761719,16
6,128,0.00018286705017089844,24
17,191,0.0005533695220947266,0
17,212,0.00022339820861816406,0
17,996,0.0005056858062744141,0
17,75,0.00021958351135253906,0
17,163,0.0002079010009765625,0
17,75,0.0002079010009765625,0
17,67,0.013526201248168945,0
17,74,0.000286102294921875,0
6,1006,0.0001857280731201172,24
17,162,0.00014162063598632812,0
6,1006,0.0007774829864501953,24
17,1292,0.029811620712280273,0
17,1292,0.00029778480529785156,0
17,454,0.00022220611572265625,0
17,74,0.00022149085998535156,0
17,1287,0.00025343894958496094,0
17,1292,0.00024580955505371094,0
17,1292,0.0002486705780029297,0
17,373,0.0002624988555908203,0
17,1286,0.00023603439331054688,0
17,1292,0.0001780986785888672,0
17,1292,0.00042510032653808594,0
17,1292,0.000385284423828125,0
17,1292,0.00024175643920898438,0
17,1292,0.0001804828643798828,0
17,1292,0.0001773834228515625,0
17,81,0.00015616416931152344,0
17,1292,0.00021982192993164062,0
17,1292,0.00018835067749023438,0
17,1292,0.00018167495727539062,0
17,1292,0.00016236305236816406,0
17,1292,0.00016999244689941406,0
17,1292,0.00016498565673828125,0
17,1292,0.00022292137145996094,0
17,74,0.00047969818115234375,0
17,1292,0.00031948089599609375,0
17,1292,0.00036525726318359375,0
17,1292,0.000362396240234375,0
17,1292,0.0002799034118652344,0
17,1292,0.0002665519714355469,0
17,1292,0.00029754638671875,0
17,1292,0.0005035400390625,0
17,1292,0.0003933906555175781,0
17,74,0.0002872943878173828,0
17,1292,0.0004711151123046875,0
17,1292,0.00024509429931640625,0
17,1292,0.00020241737365722656,0
17,1292,0.0003063678741455078,0
17,1292,0.0002505779266357422,0
17,1258,0.0004696846008300781,0
17,75,0.0029036998748779297,0
17,71,0.003885030746459961,0
17,68,0.00139617919921875,0
6,66,0.001027822494506836,2
6,66,0.00016546249389648438,2
6,66,0.0006921291351318359,18
6,54,0.00020241737365722656,16
6,66,0.00029587745666503906,18
6,54,0.00017976760864257812,16
6,56,0.00022554397583007812,24
6,83,0.0009129047393798828,24
6,56,0.00030303001403808594,24
6,83,0.0003490447998046875,24
17,1288,0.0005898475646972656,0
17,1292,0.0003998279571533203,0
17,77,0.00042819976806640625,0
17,1292,0.0003540515899658203,0
17,1292,0.0003676414489746094,0
17,73,0.0004169940948486328,0
17,1292,0.0004863739013671875,0
6,54,0.00040078163146972656,16
17,1292,0.0005822181701660156,0
17,73,0.00036978721618652344,0
6,54,0.00027942657470703125,16
17,583,0.0003771781921386719,0
17,133,0.0001957416534423828,0
17,73,0.0001933574676513672,0
6,60,0.00025081634521484375,16
6,60,0.00020313262939453125,16
6,60,0.00020432472229003906,16
6,60,0.0001647472381591797,16
6,145,0.0004987716674804688,24
6,245,0.00146484375,24
6,54,0.00017070770263671875,17
6,54,0.0001304149627685547,17
6,60,0.00012564659118652344,17
6,54,0.0001010894775390625,16
17,1292,0.00022482872009277344,0
17,1292,0.0002510547637939453,0
17,124,0.00027871131896972656,0
17,1292,0.00023984909057617188,0
17,1292,0.00039505958557128906,0
6,60,0.0002796649932861328,17
6,54,0.00035762786865234375,16
17,118,0.00022149085998535156,0
17,946,0.00019884109497070312,0
17,82,0.012439489364624023,0
17,1292,0.0003478527069091797,0
17,82,0.0002181529998779297,0
17,1292,0.0005099773406982422,0
17,67,0.007430076599121094,0
17,727,0.0056307315826416016,0
17,133,0.00017499923706054688,0
17,77,0.0001442432403564453,0
17,1292,0.006071805953979492,0
17,1292,0.00022339820861816406,0
17,1292,0.0018205642700195312,0
17,326,0.0006611347198486328,0
17,120,0.00035858154296875,0
17,978,0.0005702972412109375,0
17,73,0.00026917457580566406,0
17,1292,0.0004000663757324219,0
17,67,0.00038242340087890625,0
17,180,0.00019073486328125,0
17,325,0.0001823902130126953,0
17,120,0.0003178119659423828,0
17,990,0.0002353191375732422,0
17,73,0.00028252601623535156,0
17,67,0.0001461505889892578,0
17,1292,0.011842966079711914,0
17,1292,0.0003294944763183594,0
17,162,0.0010745525360107422,0
17,162,0.00017523765563964844,0
17,75,0.000141143798828125,0
17,79,0.00012350082397460938,0
17,66,0.016402721405029297,0
17,65,0.0002865791320800781,0
17,71,0.10046267509460449,0
17,71,0.0002899169921875,0
17,66,0.012389659881591797,0
6,164,0.3482680320739746,24
6,164,0.0009920597076416016,24
6,164,0.03678488731384277,24
6,164,0.003551006317138672,24
6,334,0.015329122543334961,24
6,54,0.03635668754577637,16
6,54,0.00013947486877441406,16
6,54,0.017250537872314453,16
6,66,0.7841901779174805,2
17,115,0.016556978225708008,0
17,75,0.0068089962005615234,0
17,1284,0.01305079460144043,0
17,1292,0.00027561187744140625,0
17,1292,0.00024771690368652344,0
17,1292,0.0001857280731201172,0
17,1292,0.0002694129943847656,0
17,683,0.00021839141845703125,0
17,899,0.00015997886657714844,0
17,1284,0.0017156600952148438,0
17,1292,0.0001919269561767578,0
17,199,0.00022602081298828125,0
17,1284,0.0002455711364746094,0
17,1189,0.00023889541625976562,0
17,74,0.00019288063049316406,0
17,1284,0.00026798248291015625,0
17,656,0.00021767616271972656,0
17,1079,0.0002608299255371094,0
17,1284,0.0028104782104492188,0
17,1292,0.0002148151397705078,0
17,262,0.00015282630920410156,0
17,74,0.0001666545867919922,0
17,1284,0.0001842975616455078,0
17,1292,0.00016427040100097656,0
17,1292,0.00015544891357421875,0
17,386,0.00013303756713867188,0
17,1284,0.00015687942504882812,0
17,1292,0.00015354156494140625,0
17,1292,0.0006079673767089844,0
17,1292,0.000247955322265625,0
17,1292,0.00016999244689941406,0
17,1292,0.0001621246337890625,0
17,1292,0.00021910667419433594,0
17,1292,0.0003974437713623047,0
17,74,0.00019931793212890625,0
17,1292,0.00025153160095214844,0
17,1292,0.00031447410583496094,0
17,1292,0.0002493858337402344,0
17,1292,0.00028061866760253906,0
17,1292,0.0004661083221435547,0
17,1292,0.00018477439880371094,0
17,74,0.00014019012451171875,0
17,1292,0.00017452239990234375,0
17,1292,0.0001552104949951172,0
17,1292,0.00015354156494140625,0
17,1292,0.00015282630920410156,0
17,1292,0.00045680999755859375,0
17,1292,0.0002751350402832031,0
17,1292,0.00031375885009765625,0
17,1292,0.00025010108947753906,0
17,1292,0.0002455711364746094,0
17,1292,0.0002338886260986328,0
17,75,0.0001876354217529297,0
17,1237,0.0013575553894042969,0
17,1284,0.003489971160888672,0
17,1292,0.0001938343048095703,0
17,1193,0.00018262863159179688,0
